english,hindi
Add a new weekly reminder for Sunday Brunch at 9 : 30 am,9 : 30 am ko Sunday Brunch के के लिए मैं नया weekly reminder add करेन
message danny and see if he wants to go to comic con,डैनी ko message karo मैं और देखो के he चाहता हूँ हे to go to comic con
set alarm for 2 hours,do घंटा के के लिए alarm set कार्डो
kill the reminder for baking a cake for neil,नील के के लिए cake bake करने के reminder ko मीता den
retrieve my chat requests please,Please mere chat अनुरोध ko retrieve करे
"If I leave here by 9 pm , will I get to Taipei by 11 pm ?",agar माई रात 9 बाजे तक इधर se निकल जाऊ तो क्या माई रात 11 बाजे तक Taipei पाहुंच जाउंगा ?
Things to do this weekend for free in Pensacola,Pensacola me is weekend ko free me करने के लिये चीज
Is it going to be cold today,Kya आज थंड hone wali है
Text Chris I ' m stuck in traffic,Chris ko text karo की I ' m stuck in traffic
please set timer for 50 minutes,please 50 मिनट के लिये timer ko set करेन
delete 7 pm alarm,7 बजे के alarm ko delete karo
"Remove all chore reminders that are before 9 am . , please .",Please subah 9 बाजे se पहले के सभी chore अनुस्मारक ko हटाये
Temperature next week in San Francisco c,Agle हफ़्ता San Francisco me temperature c me
Cancel alarm for 6 : 10,6 : 10 के लिये alarm ko cancel करेन
repeat the song Just the way you are,Just the way you are song ko दोहरेन
How long will it take me to get there in heavy traffic,भारी traffic me मुझे वाहा पहुंचने me कितना samay लगेगा
Create a playlist of songs from the 90 ' s,90 के गीत की इक प्लेलिस्ट create karo
what ' s the weather in baltimore,बाल्टीमोर me मौसम कैसा है
start playing Magic 93 Point 7,Magic 93 Point 7 बजाना शूरु karo
Outlander schedule on Showtime,Showtime par Outlander schedule
how humid is today,आज humid कितना है
Create an alarm for 6 am and 5 pm every monday,हर सोमवार 6 am and 5 बजे के लिये alarm create करे
play 80s only,केवल 80s बजायें
"Pause this song , please .","please , is song ko कोरिया गणराज्य den ."
Tell me about the weather tonight at 6 ?,Mujhe आज रात 6 बाजे के मौसम के बारे में me बताओ ?
Yesterday the weather man said that it might rain today . How is the weather today ?,कल weather man ne kaha tha के आज बारिश hosakti है . आज weather कैसा है ?
Schedule 15 minute timer at 1 : 45 pm,1 : 45 बजे ko 15 minute ka timer schedule करेन
what ' s the humidity,humidity कितनी है
set a reminder for 3 pm to watch the baseball game,baseball game देखिये के लिये 3 बजे ka इक reminder set करे
play 80s music,80s के music बजाओ
Show me the set alarms please .,please मुझे set किये हुवे एलार्म दिखाओ .
Resume my work timer in 10 minutes .,10 मिनट me मेरा work timer fir se शूरु karo
should i wear shorts today,क्या आज मुझे shorts pehenne चाहिए
set alarm for 10 pm,रात 10 बाजे के लिये alarm set कार्डो
should i bring an umbrella ?,क्या मुझे umbrella लाना चाहिए ?
set a reminder for the doctor,doctor के लिये reminder set करेन
Will it rain this evening >,क्या आज sham बारिश होगी
Are the skies sunny for tomorrow,क्या कल के लिये आसमां sunny है
Play the next song in the list,list me se agla song बजाओ
Open What ' sApp and send text .,What ' सैप ko open करे मैं और text भेजे .
Is it quicker to take highway or back roads to the apple harvest fest in southington ?,साउथिंगटन me apple harvest fest के लिये highway लेना ज़ियादा tezz hoga ya back सड़कें ?
Can I listen to a song by Bush,क्या माई Bush ka इक song sun sakta हुन
Remind everyone in the family group that we have game night Thursday at 7 pm .,family group me सबको याद दिलाये के हमारे पीए गुरुवार sham 7 बाजे ko game night है
set my alarm for 11 pm tonight,आज रात 11 बाजे के लिये मेरा alarm set करेन
when is the next blizz con event,agla blizz con event कब है
Give me an alarm for 8 : 45 and 9 : 17 on Tuesday,मुझे Tuesday ko 8 : 45 मैं और 9 : 17 के लिये alarm de
Remind me at 1 . 00PM,मुझे दोपहर 1 : 00 बाजे याद दिलाओ
brunch specials near me this weekend,is weekend mere आस पीए brunch स्पेशल
How far is Galveston from San Antonio ?,San Antonio se Galveston me कितनी दूरी है ?
What will be the weather at noon ?,दोपहर के samay मौसम कैसा रहेगा ?
holiday happenings,holiday घटनाओं
Temperature shanghai this weekend C,Is weekend ko शांघाई ka temperature C me
Create an alarm for Fridays at 5 pm,Friday 5 बाजे के लिये alarm create करे
Restart the timer in 5 minutes,5 मिनट me timer ko फिर se शूरु karo
Play the top 10 best rap songs,top 10 सबसे ache rap गीत बजाओ
Delete the birthday party reminder .,birthday party reminder ko हठ do .
What is the chance of rain today ?,Aaj बारिश hone ka क्या chance है ?
Create a new go to sleep alarm .,इक नया go to sleep alarm create करे
Set an alarm for 5 titled work,work के naam se 5 बाजे के लिये इक alarm set करेन
What is the weather going to be this weekend ?,is weekend मौसम कैसा रहेगा ?
what ' s the weather going to be like in 3 days,3 din me मौसम कैसा hone वाला है
please play christmas music,please क्रिसमस music बजाओ
Tell him to meet me at 5 .,Use मुझसे 5 बाजे मिलन के लिये कहो .
when am i done with these weights,jab माई is तौल se done होजौंगी
Delete previous timer and add new one .,Pichla timer हटाओ मैं और इक नया वाला add karo .
List all concerts at Verizon Theater this weekend,Is weekend ko Verizon Theater me hone wale सारे संगीत कार्यक्रम list karo
what movies are playing friday night at amc universal,एएमसी universal मेई शुक्रवार night ko कौनसे चलचित्र चालन wale है
When is the first frost predicted for the coming fall,Aane wale fall के लिये पहला frost कब predict किया गया tha
SET MONTHLY ALARM TO PAY GYM MEMBERSHIP ON 3RD OF EVERY MONTH,Monthly alarm set karo gym membership के लिये pay करने हर माहीन की 3rd ko
Send a message in Facebook to Nataly saying she looks beautiful .,Facebook par Nataly ko message भेजे कहते हैं हुये की she दिखता है beautiful
Set alarms for Wednesday at 7 . 30am and 8 . 00am,Wednesday ko 7 : 30 am मैं और 8 : 00 am के लिये एलार्म set करेन
Show me any alarms that are set on Fridays .,Mujhe koi b एलार्म दिखाओ jo शुक्रवार ko set किये गए ho
If I take the train will I make my doctors appointment on time ?,agar माई train लेटा hoon तो क्या माई doctor के appointment के लिये time se पाहुच जाउंगा ?
Is Turkey having a heatwave ?,Kya Turkey me लू chal राही है ?
Set alarm for every 30 minutes .,हर 30 मिनट के लिये alarm set करे
remind me to pick up the groceries at 5 pm tonight,Aaj रात 5 बजे ko मुझे किराने का सामान lene के लिये याद दिलायें
Can I hear some jazz music right now,क्या माई अभि कुछ jazz music sun sakta हुन
Remind mom to go to her doctors appointment at 9 am tomorrow .,माँ ko कल subah 9 बाझे unke doctor के appointment par jane के लिये याद दिलाये
play more songs like this one,is ताराह के मैं और गीत play karo
What speed are the winds going today ?,आज हवाएँ कितनी तेजी se chal राही है ?
send message to lynette asking her what she bought gabby for the bridal shower,लिनेट ko message भेजकर पुचो की what she bought gabby for the bridal shower
can you suspend the timer,क्या एएपी timer ko suspend करसकते है
I need to set a reminder or Tuesday,मुझे Tuesday के लिये reminder set करने की ज़रुरत है
whats fun to do tomorrow in bayside,कल खाड़ी के किनारे मेई क्या मजेदार chizein है करने के लिये
Create two alarms for Wednesday at 8 in the morning and 4 in the afternoon,Do एलार्म बनाओ Wednesday ko शुभा 8 बाजे मैं और दोपहर 4 बाजे के लिये
Start the timer again .,timer ko फिरसे शूरु karo
Anything going on in Boston now,Boston me अभि कुछ chal राहा है
Please give me the weather for Monday,Please मुझे सोमवार के लिये weather बताइये
what is the low tonight,आज रात low क्या है
Should I take the freeway to get to David ' s the quickest ?,क्या मुझे David ' s तक सबसे tez पहुछने के लिये freeway लेना चाहिए ?
Wine tasting near me,mere आस पीए wine tasting
I want to listen to Linkin Park ' s last album,Mai Linkin Park ka last album सुन्ना चाहता हू
organize a get up alarm Monday at 6 am,इक get up alarm organize करे सोमवार at 6 am
Tell Spotify to play Don ' t Stop Me Now,Spotify ko bole to play Don ' t Stop Me Now
